IDM_;LPHD;1;SetMemErr;Indication of self-diagnostic for error on parameterization saved on FLASH;HR17160B0 - Indication of self-diagnostic for error on parameterization saved on FLASH;
IDM_;LPHD;1;RTDDiagErr;Indication of self-diagnostic for error on RTDs readings;HR17160B1 - Indication of self-diagnostic for error on RTDs readings;
IDM_;LPHD;1;RTDMeaErr;Indication of self-diagnostic for error on temperature skip;HR17160B2 - Indication of self-diagnostic for error on temperature skip;
IDM_;LPHD;1;RTDClbErr;Indication of self-diagnostic for error on calibration on PT100 temperature;HR17160B3 - Indication of self-diagnostic for error on calibration on PT100 temperature;
IDM_;LPHD;1;RTDErr;Indication of self-diagnostic for error on reading on PT100 temperature;HR17160B4 - Indication of self-diagnostic for error on reading on PT100 temperature;
IDM_;LPHD;1;PotErr;Indication of self-diagnostic for error on potentiometric transmitter;HR17160B5 - Indication of self-diagnostic for error on potentiometric transmitter;
IDM_;LPHD;1;PotErrAD;Indication of self-diagnostic for error on potentiometric transmitter A/D converter;HR17160B6 - Indication of self-diagnostic for error on potentiometric transmitter A/D converter;
IDM_;LPHD;1;MotVErr1;Indication of self-diagnostic for error on AC channel while measuring the supply voltage from the first (or only) OLTC motor phase;HR17160B8 - Indication of self-diagnostic for error on AC channel while measuring the supply voltage from the first (or only) OLTC motor phase;
IDM_;LPHD;1;MotVErr2;Indication of self-diagnostic for error on AC channel while measuring the supply voltage from the second OLTC motor phase;HR17160B9 - Indication of self-diagnostic for error on AC channel while measuring the supply voltage from the second OLTC motor phase;
IDM_;LPHD;1;MotVErr3;Indication of self-diagnostic for error on AC channel while measuring the supply voltage from the third OLTC motor phase;HR17160B10 - Indication of self-diagnostic for error on AC channel while measuring the supply voltage from the third OLTC motor phase;
IDM_;LPHD;1;MotAErr1;Indication of self-diagnostic for error on AC channel while measuring the current from the first (or only) OLTC motor phase;HR17160B11 - Indication of self-diagnostic for error on AC channel while measuring the current from the first (or only) OLTC motor phase;
